[epoch 1] train_loss: 2.948  val_accuracy: 0.237  run_time 445.914
[epoch 34] train_loss: 0.486  val_accuracy: 0.833  run_time 445.043
[epoch 35] train_loss: 0.465  val_accuracy: 0.833  run_time 439.351
[epoch 36] train_loss: 0.454  val_accuracy: 0.811  run_time 439.840
[epoch 37] train_loss: 0.436  val_accuracy: 0.833  run_time 434.578
[epoch 38] train_loss: 0.444  val_accuracy: 0.856  run_time 436.063
[epoch 39] train_loss: 0.409  val_accuracy: 0.862  run_time 446.589
[epoch 40] train_loss: 0.426  val_accuracy: 0.836  run_time 449.096
[epoch 41] train_loss: 0.404  val_accuracy: 0.847  run_time 444.468
[epoch 42] train_loss: 0.406  val_accuracy: 0.815  run_time 443.653
[epoch 43] train_loss: 0.386  val_accuracy: 0.860  run_time 450.968
[epoch 44] train_loss: 0.384  val_accuracy: 0.854  run_time 441.361
[epoch 45] train_loss: 0.390  val_accuracy: 0.859  run_time 443.994
[epoch 46] train_loss: 0.369  val_accuracy: 0.852  run_time 437.463
[epoch 47] train_loss: 0.374  val_accuracy: 0.862  run_time 433.442
[epoch 48] train_loss: 0.344  val_accuracy: 0.853  run_time 448.187
[epoch 49] train_loss: 0.337  val_accuracy: 0.852  run_time 432.353
[epoch 50] train_loss: 0.340  val_accuracy: 0.855  run_time 452.782
[epoch 51] train_loss: 0.334  val_accuracy: 0.825  run_time 446.396
[epoch 52] train_loss: 0.334  val_accuracy: 0.826  run_time 448.714
[epoch 53] train_loss: 0.328  val_accuracy: 0.870  run_time 446.864
[epoch 54] train_loss: 0.318  val_accuracy: 0.868  run_time 438.409
[epoch 55] train_loss: 0.295  val_accuracy: 0.868  run_time 447.062
[epoch 56] train_loss: 0.310  val_accuracy: 0.858  run_time 441.078
[epoch 57] train_loss: 0.310  val_accuracy: 0.875  run_time 430.198
[epoch 58] train_loss: 0.294  val_accuracy: 0.866  run_time 448.022
[epoch 59] train_loss: 0.293  val_accuracy: 0.852  run_time 439.041
[epoch 60] train_loss: 0.297  val_accuracy: 0.865  run_time 422.079
[epoch 61] train_loss: 0.217  val_accuracy: 0.902  run_time 438.239
[epoch 62] train_loss: 0.181  val_accuracy: 0.904  run_time 453.532
[epoch 63] train_loss: 0.170  val_accuracy: 0.908  run_time 437.172
[epoch 64] train_loss: 0.164  val_accuracy: 0.908  run_time 444.005
[epoch 65] train_loss: 0.174  val_accuracy: 0.907  run_time 450.246
[epoch 66] train_loss: 0.154  val_accuracy: 0.907  run_time 438.141
[epoch 67] train_loss: 0.154  val_accuracy: 0.913  run_time 445.533
[epoch 68] train_loss: 0.151  val_accuracy: 0.910  run_time 442.847
[epoch 69] train_loss: 0.164  val_accuracy: 0.911  run_time 440.986
[epoch 70] train_loss: 0.151  val_accuracy: 0.912  run_time 448.315
[epoch 71] train_loss: 0.154  val_accuracy: 0.905  run_time 447.447
[epoch 72] train_loss: 0.145  val_accuracy: 0.909  run_time 435.462
[epoch 73] train_loss: 0.143  val_accuracy: 0.908  run_time 444.891
[epoch 74] train_loss: 0.140  val_accuracy: 0.909  run_time 434.314
[epoch 75] train_loss: 0.137  val_accuracy: 0.911  run_time 438.113
[epoch 76] train_loss: 0.135  val_accuracy: 0.910  run_time 444.039
[epoch 77] train_loss: 0.130  val_accuracy: 0.909  run_time 450.998
[epoch 78] train_loss: 0.133  val_accuracy: 0.909  run_time 432.562
[epoch 79] train_loss: 0.131  val_accuracy: 0.912  run_time 444.360
[epoch 80] train_loss: 0.140  val_accuracy: 0.909  run_time 431.707
[epoch 81] train_loss: 0.131  val_accuracy: 0.911  run_time 450.384
[epoch 82] train_loss: 0.122  val_accuracy: 0.910  run_time 440.368
[epoch 83] train_loss: 0.130  val_accuracy: 0.909  run_time 443.869
[epoch 84] train_loss: 0.125  val_accuracy: 0.909  run_time 450.744
[epoch 85] train_loss: 0.125  val_accuracy: 0.908  run_time 442.868
[epoch 86] train_loss: 0.125  val_accuracy: 0.909  run_time 453.586
[epoch 87] train_loss: 0.122  val_accuracy: 0.909  run_time 450.829
[epoch 88] train_loss: 0.124  val_accuracy: 0.909  run_time 439.520
[epoch 89] train_loss: 0.124  val_accuracy: 0.909  run_time 438.222
[epoch 90] train_loss: 0.132  val_accuracy: 0.910  run_time 444.223
[epoch 91] train_loss: 0.119  val_accuracy: 0.909  run_time 441.034
[epoch 92] train_loss: 0.126  val_accuracy: 0.909  run_time 438.070
[epoch 93] train_loss: 0.114  val_accuracy: 0.910  run_time 431.014
[epoch 94] train_loss: 0.124  val_accuracy: 0.912  run_time 441.335
[epoch 95] train_loss: 0.120  val_accuracy: 0.910  run_time 445.413
[epoch 96] train_loss: 0.134  val_accuracy: 0.910  run_time 439.918
[epoch 97] train_loss: 0.117  val_accuracy: 0.911  run_time 444.261
[epoch 98] train_loss: 0.117  val_accuracy: 0.914  run_time 433.180
[epoch 99] train_loss: 0.118  val_accuracy: 0.917  run_time 444.542
[epoch 100] train_loss: 0.117  val_accuracy: 0.915  run_time 438.527
